,vehicle_id,name,location,origin_zone,days_between_charges,charging_demand,arrival_time,departure_time,idling_duration,charging_power,strategy
143,347,BEV,home,2_4,8.661980228483321,28.017961034275473,19.36247450564515,8.201163857949773,12.838689352304623,7.4,dumb
144,350,BEV,home,0_3,2.5719330118648815,18.632999707096026,18.141048967561467,7.253612912823488,13.112563945262021,11.0,dumb
145,351,BEV,home,1_3,1.1643439091208636,5.331695965397742,20.404989911225936,7.378543261158422,10.973553349932486,11.0,dumb
146,355,PHEV,home,1_4,1.047087597181726,3.3939208711257964,17.79854239382885,7.347987307475474,13.549444913646624,7.4,dumb
147,359,BEV,home,2_4,1.1881177641918592,3.8430747176949764,21.305034935379673,8.014336265572252,10.709301330192579,7.4,dumb
148,367,BEV,home,2_4,1.2320995415309557,11.956013301773721,17.115903183108713,8.026609364353162,14.910706181244448,7.4,dumb
149,368,BEV,home,2_3,3.4424868921338634,11.135036222738982,17.105097012891576,7.353112766280526,14.248015753388948,7.4,dumb
150,370,PHEV,home,0_3,1.0,6.48257938608323,17.87099050482785,8.675063828435453,14.804073323607602,11.0,dumb
151,373,BEV,home,3_5,4.71961890597219,21.611876335853243,15.7571472044574,7.47760487914632,15.72045767468892,7.4,dumb
152,374,BEV,home,1_4,9.304401951293103,30.15832110019416,15.913452209191222,9.06198013016282,17.148527920971596,3.2,dumb
153,376,PHEV,home,2_5,1.0,7.244793420323794,17.35227341994373,9.191637957651968,15.839364537708237,7.4,dumb
154,377,BEV,home,4_3,3.7945611159292727,24.598706913124524,17.27529746562691,7.6817176691802835,14.406420203553374,7.4,dumb
155,378,PHEV,home,2_4,1.064208377472631,3.4422785628545047,16.374046055928396,8.732309299167156,16.35826324323876,3.2,dumb
156,382,BEV,home,1_5,1.0,10.247789787782656,17.325011241462306,9.000251328502832,15.675240087040526,11.0,dumb
157,384,PHEV,home,1_4,1.0,4.579141887239957,16.246184784371223,7.271738984105261,15.025554199734039,7.4,dumb
158,386,BEV,home,1_2,2.481114805276106,17.952740816306704,19.015916774893903,6.4684867297937565,11.452569954899854,7.4,dumb
159,387,PHEV,home,3_4,1.0511664547167416,3.4071529612473603,20.117038713789327,8.733770978866337,12.61673226507701,11.0,dumb
160,388,BEV,home,1_2,5.440261213607869,24.91172799983177,18.425856392057725,8.232511294989314,13.806654902931589,7.4,dumb
161,390,BEV,home,3_2,1.0,3.2346005157897446,19.004557735169993,6.646417522516733,11.641859787346739,11.0,dumb
162,392,BEV,home,2_3,4.284271434293081,13.857864707606355,18.159300703582524,8.386727515750586,14.227426812168062,11.0,dumb
163,397,BEV,home,1_5,1.941128953000384,8.888704897532037,20.517189333389606,7.429794277365367,10.912604943975762,7.4,dumb
164,398,BEV,home,5_4,8.288767062292434,26.86656753040541,18.413057598671458,8.165739728258897,13.75268212958744,3.2,dumb
165,399,BEV,home,2_4,2.894846813485535,18.727289391037033,16.285859464718566,9.65217283862177,17.366313373903203,3.2,dumb
166,402,BEV,home,4_1,1.0,11.669967402246975,18.129921022767068,9.795089399138625,15.665168376371557,11.0,dumb
167,403,PHEV,home,1_4,1.5363708367364173,9.959681909248427,18.370854892193236,7.772358610164304,13.401503717971067,7.4,dumb
168,405,BEV,home,4_4,1.0,3.2413225427250563,16.49363420278438,9.015528976236721,16.52189477345234,3.2,dumb
169,406,BEV,home,1_5,1.0,4.579141887401583,17.87337028560086,9.128380114793588,15.255009829192728,11.0,dumb
170,407,PHEV,home,3_1,1.0,10.230814181913361,20.002137725927618,5.8971201896422345,9.894982463714616,7.4,dumb
171,409,BEV,home,2_3,2.204061426898878,7.129236681115714,18.673570967905473,10.044796562424231,15.371225594518759,7.4,dumb
172,411,BEV,home,2_4,3.837590249799626,17.572870258887107,19.55890643854619,9.389215623317043,13.83030918477085,11.0,dumb
173,412,BEV,home,2_4,1.0,4.57915708151897,21.419294887427696,9.373525924884998,11.954231037457301,7.4,dumb
174,414,BEV,home,2_1,11.76461798755859,38.05372439608682,20.762284772787037,9.049593559140538,12.2873087863535,3.2,dumb
175,418,BEV,home,2_3,1.838257268519683,8.41766878878227,19.33086216723864,8.956827810255861,13.625965643017222,7.4,dumb
176,422,BEV,home,3_3,1.2127580536409301,5.553409629499027,19.86600861985255,8.486457349851515,12.620448729998964,7.4,dumb
177,425,PHEV,home,0_3,1.0,9.723886170440696,16.61236593494792,8.520362449010163,15.907996514062242,11.0,dumb
178,429,PHEV,home,1_3,1.0,4.579141887231095,18.637379336382637,8.762317980356487,14.12493864397385,11.0,dumb
179,434,PHEV,home,2_3,1.0,3.234590739672158,20.107061043981577,8.002021475237134,11.894960431255557,11.0,dumb
180,435,BEV,home,2_3,1.0,3.234590739672158,17.584467772678924,7.761881123330101,14.177413350651177,11.0,dumb
181,436,PHEV,home,2_3,1.0,7.244793420154751,15.241003550372636,9.408191911106774,18.167188360734137,11.0,dumb
182,437,BEV,home,4_3,1.0,4.5791695671440555,19.04554783869454,8.559737889577027,13.514190050882489,7.4,dumb
183,442,BEV,home,2_4,1.0,4.57915708151897,17.816843412913464,9.315497886139228,15.498654473225765,3.2,dumb
184,443,PHEV,home,2_3,1.0,3.234590739576464,16.57523836531513,7.725375451290766,15.150137085975636,3.2,dumb
185,444,PHEV,home,2_2,1.0,6.469181479239819,18.53932344007497,9.408101581653954,14.868778141578984,7.4,dumb
186,450,BEV,home,0_3,6.343781833107714,29.048963543409656,15.340628126391001,8.479926935483796,17.139298809092793,11.0,dumb
187,451,BEV,home,2_1,1.0,6.469181479048485,17.907336707925275,7.170011864694072,13.262675156768797,7.4,dumb
188,452,PHEV,home,4_4,1.0,4.579169567138629,20.35266350200773,8.979482719834461,12.626819217826732,11.0,dumb
189,454,BEV,home,1_4,4.09489066658808,13.272752858230549,19.52867243468492,8.820531842664533,13.291859407979612,3.2,dumb
190,455,BEV,home,3_3,6.8266208181275605,22.127172372032714,19.553798818498315,8.595685134552433,13.041886316054118,11.0,dumb
191,458,BEV,home,4_1,1.0772180617719667,11.02084787308491,16.581521125982647,7.7747341746538545,15.193213048671208,7.4,dumb
192,461,BEV,home,3_0,2.1925777943124647,10.040158132867527,16.87021689384762,10.287577161231411,17.417360267383792,3.2,dumb
193,462,PHEV,home,2_5,1.9158083725403123,6.196856020989671,16.894017591513947,9.759883492581174,16.865865901067227,7.4,dumb
194,464,PHEV,home,2_4,1.0,3.234590739672158,15.225324350990762,9.44889772499005,18.223573373999287,3.2,dumb
195,466,PHEV,home,2_4,1.206470863039487,5.52461959613357,18.064345554797782,8.38736251370125,14.323016958903468,3.2,dumb
196,471,PHEV,home,2_2,1.693986490780287,5.479353015883575,15.864958476576021,7.956713419691615,16.091754943115596,7.4,dumb
197,474,PHEV,home,1_3,1.0,3.2412960292350492,19.544101500104777,7.277617527823571,11.733516027718794,11.0,dumb
198,475,BEV,home,4_3,1.0,4.5791695671440555,20.660527069691963,8.451294897305232,11.79076782761327,7.4,dumb
199,478,BEV,home,2_3,1.0,6.482622406544215,17.07653833116681,7.5326919200009765,14.456153588834168,7.4,dumb
200,480,BEV,home,1_5,4.641744344762896,15.014089014494948,17.246113242162966,8.235908811603432,14.989795569440465,11.0,dumb
201,481,BEV,home,2_2,4.534916708176653,14.668599589018784,17.188157929747355,8.60165457013729,15.413496640389935,3.2,dumb
202,482,BEV,home,4_3,2.637690108076364,17.09914899613587,17.980718300752482,8.012959817715966,14.032241516963484,3.2,dumb
203,487,BEV,home,0_3,5.215885310709686,23.884185524756962,19.642198933177102,7.792467082016799,12.150268148839697,3.2,dumb
204,489,BEV,home,2_4,6.718134662639124,21.73041616828964,18.64256584597988,5.367443880785309,10.724878034805428,3.2,dumb
205,491,BEV,home,3_4,9.215213851446615,29.869335176743977,16.063931307281536,7.117395102733906,15.05346379545237,3.2,dumb
206,494,BEV,home,1_4,3.422457481168429,15.67191840931611,21.349544339297964,8.95226987636248,11.602725537064517,7.4,dumb
207,497,BEV,work,3_4,1.0,4.579157081511705,9.575099408893422,18.1452536490099,8.570154240116477,7.4,dumb
208,498,BEV,work,3_4,5.4115945790392175,17.5406382236695,9.025449067548784,17.232694429358443,8.207245361809658,11.0,dumb
209,500,PHEV,work,2_5,1.2160130126234159,5.5682961217194,9.628356106080414,18.237326024453083,8.608969918372669,11.0,dumb
210,501,BEV,work,2_4,2.2866116870302724,7.39625298809425,8.649417046618781,14.38947353018753,5.740056483568749,7.4,dumb
211,502,PHEV,work,0_3,1.0,4.579123984340907,8.770693291969238,17.626907947843282,8.856214655874044,11.0,dumb
212,504,BEV,work,2_3,1.0,3.234590739672158,9.210469733276238,19.09830328439076,9.887833551114522,7.4,dumb
213,505,PHEV,work,2_3,1.0,4.579157081511705,8.331849621540735,19.167722121514128,10.835872499973393,11.0,dumb
214,506,PHEV,work,1_4,1.0,3.2412960293490793,7.88508500699859,15.089136912940239,7.204051905941649,11.0,dumb
215,508,PHEV,work,4_4,1.0,6.48262240667672,8.304754149117336,18.70111997830265,10.396365829185314,11.0,dumb
216,509,BEV,work,2_4,1.0,4.57915708151897,8.487688463748906,16.92349054965667,8.435802085907763,11.0,dumb
217,516,PHEV,work,2_4,1.0,9.72394494940178,7.138229848324512,18.220593094634832,11.08236324631032,11.0,dumb
218,517,BEV,work,1_3,9.787147732163914,31.723043081799712,10.700207882069375,19.153298520853802,8.453090638784428,11.0,dumb
219,526,BEV,work,1_3,4.081344911033382,13.228847054071176,10.496570213823116,18.884814303022218,8.388244089199102,11.0,dumb
220,527,BEV,work,2_3,5.395098615197582,17.450936019819903,10.319866183385459,18.901068233873684,8.581202050488224,7.4,dumb
221,529,BEV,work,3_0,4.888091789046727,15.811024221450543,8.73759596786953,21.39774100744454,12.660145039575012,7.4,dumb
222,531,PHEV,work,2_5,1.7583682309748432,5.687601597014178,10.142384521928182,18.458821670473338,8.316437148545155,11.0,dumb
223,534,PHEV,work,2_1,1.0,7.235779798535138,8.955328665015525,18.25888115441389,9.303552489398363,11.0,dumb
